NDB_NO,Description,Fat (g),Fiber (g),Sugars (g),Energy (kcal),Carbohydrate (g),Protein (g),Calcium (mg),Iron (mg),Vitamin C (mg),,,,
11001,"Alfalfa seeds, sprouted, raw",0.69,1.9,0.2,23,2.1,3.99,32,0.96,8.2,,,,-0.203769645990272
20001,"Amaranth grain, uncooked",7.02,6.7,1.69,371,65.25,13.56,159,7.61,4.2,,,,
9400,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",0.13,0.2,9.62,46,11.3,0.1,8,0.12,38.5,,,,
9517,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",0.17,0.3,9.47,48,11.49,0.12,70,0.13,30.3,,,,
9016,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",0.13,0.2,9.62,46,11.3,0.1,8,0.12,0.9,,,,
9017,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",0.37,0.4,38.83,166,41,0.51,20,0.91,2.1,,,,
9008,"Apples, canned, sweetened, sliced, drained, heated",0.43,2,14.84,67,16.84,0.18,4,0.24,0.2,,,,
9007,"Apples, canned, sweetened, sliced, drained, unheated",0.49,1.7,15,67,16.7,0.18,4,0.23,0.4,,,,
9009,"Apples, dehydrated (low moisture), sulfured, uncooked",0.58,12.4,81.13,346,93.53,1.32,19,2,2.2,,,,
9012,"Apples, dried, sulfured, stewed, without added sugar",0.07,2,13.32,57,15.32,0.22,3,0.33,1,,,,
9011,"Apples, dried, sulfured, uncooked",0.32,8.7,57.19,243,65.89,0.93,14,1.4,3.9,,,,
9014,"Apples, frozen, unsweetened, unheated",0.32,1.3,10.1,48,12.31,0.28,4,0.18,0.1,,,,
9003,"Apples, raw, with skin",0.17,2.4,10.39,52,13.81,0.26,6,0.12,4.6,,,,
9004,"Apples, raw, without skin",0.13,1.3,10.1,48,12.76,0.27,5,0.07,4,,,,
9005,"Apples, raw, without skin, cooked, boiled",0.36,2.4,11.01,53,13.64,0.26,5,0.19,0.2,,,,
9006,"Apples, raw, without skin, cooked, microwave",0.42,2.8,11.61,56,14.41,0.28,5,0.17,0.3,,,,
9020,"Applesauce, canned, sweetened, without salt (includes USDA commodity)",0.17,1.2,14.67,68,17.49,0.16,3,0.12,1.7,,,,
9401,"Applesauce, canned, unsweetened, with added ascorbic acid",0.1,1.1,9.39,42,11.27,0.17,4,0.23,21.2,,,,
9019,"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",0.1,1.1,9.39,42,11.27,0.17,4,0.23,1,,,,
9403,"Apricot nectar, canned, with added ascorbic acid",0.09,0.6,13.24,56,14.39,0.37,7,0.38,17.6,,,,
9036,"Apricot nectar, canned, without added ascorbic acid",0.09,0.6,13.79,56,14.39,0.37,7,0.38,0.6,,,,
9027,"Apricots, canned, heavy syrup pack, with skin, solids and liquids",0.08,1.6,19.87,83,21.47,0.53,9,0.3,3.1,,,,
9357,"Apricots, canned, heavy syrup, drained",0.11,2.7,18.65,83,21.31,0.64,10,0.3,3.1,,,,
9024,"Apricots, canned, juice pack, with skin, solids and liquids",0.04,1.6,10.74,48,12.34,0.63,12,0.3,4.9,,,,
9026,"Apricots, canned, light syrup pack, with skin, solids and liquids",0.05,1.6,14.89,63,16.49,0.53,11,0.39,2.7,,,,
9022,"Apricots, canned, water pack, with skin, solids and liquids",0.16,1.6,4.79,27,6.39,0.71,8,0.32,3.4,,,,
9033,"Apricots, dried, sulfured, stewed, without added sugar",0.18,2.6,19.57,85,22.15,1.2,19,0.94,0.3,,,,
9032,"Apricots, dried, sulfured, uncooked",0.51,7.3,53.44,241,62.64,3.39,55,2.66,1,,,,
9021,"Apricots, raw",0.39,2,9.24,48,11.12,1.4,13,0.39,10,,,,
11702,"Artichokes, (globe or french), cooked, boiled, drained, with salt",0.34,5.7,0.99,51,11.39,2.89,21,0.61,7.4,,,,
11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt",0.34,5.7,0.99,53,11.95,2.89,21,0.61,7.4,,,,
11703,"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",0.5,4.6,0.84,45,9.18,3.11,21,0.56,5,,,,
11010,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",0.5,4.6,0.84,45,9.18,3.11,21,0.56,5,,,,
11007,"Artichokes, (globe or french), raw",0.15,5.4,0.99,47,10.51,3.27,44,1.28,11.7,,,,
11959,"Arugula, raw",0.66,1.6,2.05,25,3.65,2.58,160,1.46,15,,,,
11015,"Asparagus, canned, drained solids",0.65,1.6,1.06,19,2.46,2.14,16,1.83,18.4,,,,
11012,"Asparagus, cooked, boiled, drained",0.22,2,1.3,22,4.11,2.4,23,0.91,7.7,,,,
11705,"Asparagus, cooked, boiled, drained, with salt",0.22,2,1.3,22,4.11,2.4,23,0.91,7.7,,,,
11709,"Asparagus, frozen, cooked, boiled, drained, with salt",0.42,1.6,0.32,18,1.92,2.95,18,0.56,24.4,,,,
11019,"Asparagus, frozen, cooked, boiled, drained, without salt",0.42,1.6,0.32,18,1.92,2.95,18,0.56,24.4,,,,
11011,"Asparagus, raw",0.12,2.1,1.88,20,3.88,2.2,24,2.14,5.6,,,,
9037,"Avocados, raw, all commercial varieties",14.66,6.7,0.66,160,8.53,2,12,0.55,10,,,,
9038,"Avocados, raw, California",15.41,6.8,0.3,167,8.64,1.96,13,0.61,8.8,,,,
9039,"Avocados, raw, Florida",10.06,5.6,2.42,120,7.82,2.23,10,0.17,17.4,,,,
10994,"Bacon, pre-sliced, reduced/low sodium, unprepared",39.27,0,0.83,407,0.83,12.53,4,0.42,0,,,,
